,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Banamba,ML,13.55,-7.45,94.8,23,96,7.63,overcast clouds
331,Jawa,JO,31.8525,35.9393,77.0,16,0,4.61,clear sky
332,Batesville,US,35.7698,-91.641,75.99,35,1,6.91,clear sky
333,Naryan-Mar,RU,67.6713,53.087,30.4,86,100,7.23,overcast clouds
334,Viedma,AR,-40.8135,-62.9967,79.07,29,96,17.2,overcast clouds
335,Tazovskiy,RU,67.4667,78.7,31.01,96,100,11.14,overcast clouds
336,Gazanjyk,TM,39.2446,55.5154,73.74,47,38,7.92,scattered clouds
337,Ulaangom,MN,49.9811,92.0667,53.31,37,81,4.97,broken clouds
338,Pevek,RU,69.7008,170.3133,14.23,93,100,10.67,overcast clouds
339,Soe,ID,-9.8607,124.284,66.45,90,55,4.38,broken clouds
340,Varadero,CU,23.1536,-81.2514,89.6,40,40,13.8,scattered clouds
341,Amga,RU,60.8953,131.9608,27.79,98,96,2.8,overcast clouds
342,Mackenzie,CA,55.2999,-123.1698,48.2,66,90,6.91,overcast clouds
343,Campina Verde,BR,-19.5356,-49.4864,82.94,39,100,7.65,overcast clouds
344,Carmen,MX,18.6333,-91.8333,93.2,49,75,11.56,broken clouds
345,Villazon,BO,-22.0866,-65.5942,57.13,15,4,4.83,clear sky
346,Yining,CN,29.0361,114.5636,65.55,80,0,2.86,clear sky
347,Sarangani,PH,5.4033,125.4636,82.65,77,100,16.8,overcast clouds
348,Shahrud,IR,36.4182,54.9763,62.33,57,4,8.81,clear sky
349,Ronde,DK,56.3014,10.4751,48.2,57,90,1.14,light rain
350,Southbridge,US,42.0751,-72.0334,59.0,59,98,7.0,overcast clouds
351,Eyl,SO,7.9803,49.8164,84.13,72,84,7.67,broken clouds
352,Zaltan,LY,32.947,11.8665,76.39,48,54,14.38,broken clouds
353,Nemuro,JP,43.3236,145.575,38.07,78,93,26.19,overcast clouds
354,Henties Bay,NA,-22.116,14.2845,59.0,88,0,5.44,clear sky
355,Camapua,BR,-19.5314,-54.0439,86.74,22,100,4.38,overcast clouds
356,Padang,ID,-0.9492,100.3543,78.58,84,100,3.38,overcast clouds
357,Svetlogorsk,BY,52.6333,29.7333,51.1,93,100,5.88,overcast clouds
358,Boa Vista,BR,2.8197,-60.6733,84.2,65,75,2.3,light rain
359,Dicabisagan,PH,17.0818,122.4157,75.13,82,9,2.66,clear sky
360,Zlobin,HR,45.2924,14.6541,60.8,72,0,2.3,moderate rain
361,Yumen,CN,40.2833,97.2,63.5,11,82,5.97,broken clouds
362,Saint-Georges,GD,12.0564,-61.7485,82.4,69,75,13.8,broken clouds
363,Kouqian,CN,43.6391,126.4578,43.34,85,97,1.3,overcast clouds
364,Verkhnevilyuysk,RU,63.4453,120.3167,30.88,97,100,4.63,overcast clouds
365,Salinopolis,BR,-0.6136,-47.3561,75.99,90,100,1.45,overcast clouds
366,Banjar,ID,-8.19,114.9675,78.8,89,20,4.61,few clouds
367,Clyde River,CA,70.4692,-68.5914,24.8,100,75,3.44,broken clouds
368,Geraldton,AU,-28.7667,114.6,51.8,71,97,9.22,overcast clouds
369,Vostok,RU,46.4856,135.8833,31.87,84,1,1.77,clear sky
370,Kavieng,PG,-2.5744,150.7967,82.04,76,97,7.31,overcast clouds
371,Eureka,US,40.8021,-124.1637,62.01,76,100,7.36,overcast clouds
372,Coquimbo,CL,-29.9533,-71.3436,62.6,67,0,13.8,clear sky
373,Horni Plana,CZ,48.7674,14.0326,62.6,59,20,6.91,few clouds
374,Tilichiki,RU,60.4667,166.1,19.08,94,63,9.33,broken clouds
375,Sassandra,CI,4.95,-6.0833,80.98,79,70,6.35,broken clouds
376,Long,TH,18.0761,99.8326,81.0,71,30,0.27,scattered clouds
377,Sanchor,IN,24.7553,71.7722,85.91,30,27,5.84,scattered clouds
378,San Patricio,US,28.017,-97.5169,78.8,78,90,3.44,overcast clouds
379,Angoche,MZ,-16.2325,39.9086,78.76,80,0,4.18,clear sky
380,Ozernovskiy,RU,51.5,156.5167,36.1,82,33,4.81,scattered clouds
381,Wabash,US,40.7978,-85.8205,55.99,58,6,11.01,clear sky
382,Port Keats,AU,-14.25,129.55,73.54,57,9,5.41,clear sky
383,Fortuna,US,40.5982,-124.1573,66.0,82,1,12.66,clear sky
384,Mogadishu,SO,2.0371,45.3438,82.63,73,100,12.95,overcast clouds
385,Ranong,TH,9.9658,98.6348,78.82,86,100,2.95,overcast clouds
386,Verkhnyaya Inta,RU,65.9811,60.3094,28.71,71,33,11.12,scattered clouds
387,Victor Harbor,AU,-35.5667,138.6167,71.01,49,100,9.46,overcast clouds
388,College,US,64.8569,-147.8028,35.6,51,75,9.22,light snow
389,Lompoc,US,34.6391,-120.4579,70.0,82,40,11.5,mist
390,Goderich,CA,43.7501,-81.7165,42.8,56,41,23.02,scattered clouds
391,Sur,OM,22.5667,59.5289,85.24,39,44,9.89,scattered clouds
392,Synya,RU,65.3718,58.0387,33.35,69,44,5.46,scattered clouds
393,Saint George,US,37.1041,-113.5841,87.01,15,1,8.05,clear sky
394,Samana,DO,19.2056,-69.3369,89.6,62,40,13.8,scattered clouds
395,Kyra,RU,49.5776,111.9753,28.69,74,21,6.02,few clouds
396,Kaniama,CD,-7.5667,24.1833,69.26,92,96,3.53,overcast clouds
397,Berberati,CF,4.2612,15.7922,71.02,81,99,0.98,overcast clouds
398,Calella,ES,41.618,2.6678,60.01,82,46,1.01,scattered clouds
399,Te Anau,NZ,-45.4167,167.7167,38.39,94,100,1.43,overcast clouds
400,Honningsvag,NO,70.9821,25.9704,30.2,80,90,36.82,snow
401,Diffa,NE,13.3154,12.6113,89.56,11,0,6.46,clear sky
402,Road Town,VG,18.4167,-64.6167,84.2,61,40,10.36,scattered clouds
403,Kyabe,TD,9.4515,18.9449,88.56,39,100,4.29,overcast clouds
404,Neftcala,AZ,39.3742,49.2472,60.03,81,78,6.08,broken clouds
405,Maldonado,UY,-34.6667,-54.9167,71.6,68,0,5.75,clear sky
406,Homer,US,59.6425,-151.5483,46.4,42,40,4.61,scattered clouds
407,Garowe,SO,8.4054,48.4845,74.59,85,100,8.21,heavy intensity rain
408,Sterling,US,39.0062,-77.4286,71.01,26,40,29.93,scattered clouds
409,Waingapu,ID,-9.6567,120.2641,77.23,86,10,5.57,clear sky
410,Houma,US,29.5958,-90.7195,87.01,61,75,4.61,broken clouds
411,Barra Do Bugres,BR,-15.0725,-57.1811,88.56,30,100,1.19,overcast clouds
412,Korla,CN,41.7597,86.1469,72.63,18,0,3.09,clear sky
413,Kijang,KR,35.2442,129.2139,51.8,93,90,4.61,moderate rain
414,Barra,BR,-11.0894,-43.1417,87.51,42,70,6.85,broken clouds
415,Port Moresby,PG,-9.4431,147.1797,73.96,87,73,4.7,broken clouds
416,Enid,US,36.3956,-97.8784,77.0,27,1,5.75,clear sky
417,Baoding,CN,38.8511,115.4903,47.1,48,0,10.27,clear sky
418,Mananjary,MG,-21.2167,48.3333,73.4,90,26,4.09,scattered clouds
419,Buraydah,SA,26.326,43.975,82.4,23,0,4.61,clear sky
420,Seoul,KR,37.5683,126.9778,50.0,81,90,2.3,light rain
421,Kruisfontein,ZA,-34.0033,24.7314,55.99,73,0,1.01,clear sky
422,Caconda,AO,-13.7333,15.0667,64.15,70,100,1.34,overcast clouds
423,Vao,NC,-22.6667,167.4833,74.89,60,100,19.28,overcast clouds
424,La Ronge,CA,55.1001,-105.2842,50.0,46,100,9.22,overcast clouds
425,Lujan,AR,-34.5703,-59.105,73.99,46,0,11.01,clear sky
426,Bodden Town,KY,19.2833,-81.25,86.0,70,20,9.22,few clouds
427,Thinadhoo,MV,0.5333,72.9333,83.71,69,10,4.32,clear sky
428,Mandera,KE,3.9366,41.867,88.29,48,86,3.91,overcast clouds
429,Laguna,US,38.421,-121.4238,82.0,27,75,4.16,broken clouds
430,Gustavo Diaz Ordaz,MX,26.2333,-98.5833,79.0,68,100,1.99,overcast clouds
431,Bouna,CI,9.2667,-3.0,87.84,41,100,8.97,overcast clouds
432,Kupang,ID,-10.1667,123.5833,76.37,83,100,6.69,overcast clouds
433,Adrar,MR,20.5022,-10.0711,85.24,29,16,7.49,few clouds
434,Grafton,US,42.207,-71.6856,61.0,58,90,28.77,overcast clouds
435,Skjervoy,NO,70.0311,20.9714,26.6,80,75,17.27,snow
436,Pundaguitan,PH,6.3711,126.1689,81.54,78,76,11.5,broken clouds
437,Vestmannaeyjar,IS,63.4427,-20.2734,44.6,57,75,13.8,haze
438,Acapulco,MX,16.8634,-99.8901,86.0,62,20,9.22,few clouds
439,Digby,CA,44.6169,-65.7655,50.0,93,100,5.01,overcast clouds
440,Cochrane,CA,51.1834,-114.4687,68.0,24,20,28.77,few clouds
441,Bulungu,CD,-4.55,18.6,73.13,94,100,1.79,light rain
442,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,45,0,10.36,clear sky
443,Provideniya,RU,64.3833,-173.3,28.02,62,97,1.57,overcast clouds
444,Yeniseysk,RU,58.4497,92.1703,36.68,94,68,6.26,broken clouds
445,Mani,CO,4.8172,-72.2886,71.76,94,100,3.89,moderate rain
446,Zharkent,KZ,44.1628,80.0,70.72,41,40,28.81,scattered clouds
447,Maltahohe,NA,-24.8333,16.9833,58.21,25,0,15.03,clear sky
448,Llanes,ES,43.4198,-4.7549,54.0,79,43,1.99,scattered clouds
449,Barahona,DO,18.2085,-71.1008,87.8,62,20,20.71,few clouds
450,Walcz,PL,53.2779,16.4712,46.0,92,100,8.88,overcast clouds
451,Chunoyar,RU,57.4467,97.3217,30.27,97,18,3.24,few clouds
452,Bumba,CD,2.1833,22.4667,69.8,97,100,6.31,moderate rain
453,Virginia Beach,US,36.8529,-75.978,78.8,29,40,13.8,scattered clouds
454,Finschhafen,PG,-6.6024,147.8681,78.42,80,48,5.59,scattered clouds
455,Baglung,NP,28.2719,83.5898,69.49,44,85,4.63,overcast clouds
456,Natal,BR,-5.795,-35.2094,80.6,83,75,10.36,broken clouds
457,Aykhal,RU,66.0,111.5,24.94,98,100,4.7,overcast clouds
458,Winnemucca,US,40.973,-117.7357,82.4,14,1,9.22,clear sky
459,Ust-Kuyga,RU,70.0167,135.6,27.55,93,97,2.62,overcast clouds
460,Pekalongan,ID,-6.8886,109.6753,53.01,100,100,3.8,overcast clouds
461,Bontang,ID,0.1333,117.5,78.94,84,100,4.59,overcast clouds
462,Kalmunai,LK,7.4167,81.8167,80.11,83,95,6.76,overcast clouds
463,Kladanj,BA,44.2264,18.6914,66.2,68,20,4.61,few clouds
464,Tungor,RU,53.3808,142.9564,30.31,88,100,6.87,overcast clouds
465,Tukrah,LY,32.5341,20.5791,82.02,27,13,6.76,few clouds
466,Snezhnogorsk,RU,69.1933,33.2531,24.8,54,0,2.24,clear sky
467,Bacolod,PH,10.6667,122.95,78.96,78,100,4.52,light rain
468,Siilinjarvi,FI,63.0833,27.6667,35.6,64,75,2.3,broken clouds
469,Flin Flon,CA,54.7682,-101.865,42.8,42,90,9.22,overcast clouds
470,Vzmorye,RU,54.6961,20.2361,41.0,75,40,11.18,scattered clouds
471,Kita,ML,13.0349,-9.4895,99.93,17,87,4.41,overcast clouds
472,Koslan,RU,63.4564,48.8989,33.46,90,100,4.92,overcast clouds
473,Sept-Iles,CA,50.2001,-66.3821,48.99,71,90,14.97,overcast clouds
474,Sarahan,IN,31.5167,77.8,52.41,58,9,8.19,clear sky
475,Katsuura,JP,35.1333,140.3,60.8,82,20,8.05,few clouds
476,Tutoia,BR,-2.7619,-42.2744,87.8,70,40,9.22,scattered clouds
477,Katangli,RU,51.7102,143.2326,30.96,94,100,7.85,overcast clouds
478,Karasjok,NO,69.4719,25.5112,26.6,68,40,18.41,scattered clouds
479,Alofi,NU,-19.0595,-169.9187,78.8,94,100,2.3,overcast clouds
480,Cabo San Lucas,MX,22.8909,-109.9124,87.01,34,1,11.5,clear sky
481,Srednekolymsk,RU,67.45,153.6833,10.9,92,25,7.67,scattered clouds
482,Nha Trang,VN,12.25,109.1833,77.0,88,20,2.3,few clouds
483,Kant,IN,27.8,79.8,88.84,19,0,6.64,clear sky
484,Umea,SE,63.8284,20.2597,37.4,81,0,2.3,clear sky
485,Vanimo,PG,-2.6741,141.3028,77.67,88,100,5.55,overcast clouds
486,Hanna,CA,51.6334,-111.9018,73.99,20,1,13.0,clear sky
487,Benguela,AO,-12.5763,13.4055,79.32,82,71,4.09,broken clouds
488,Hofn,IS,64.2539,-15.2082,33.8,93,90,4.61,light snow
489,Fort Nelson,CA,58.8053,-122.7002,59.0,29,75,9.22,broken clouds
490,Patti,IN,31.2808,74.8572,86.0,35,75,8.05,haze
491,Boca Do Acre,BR,-8.7522,-67.3978,89.29,43,56,3.56,broken clouds
492,Gasa,PS,31.5,34.4667,73.99,46,0,2.3,clear sky
493,Grootfontein,NA,-19.5667,18.1167,62.6,67,63,3.44,broken clouds
494,Talnakh,RU,69.4865,88.3972,17.17,80,15,3.11,few clouds
495,Mocuba,MZ,-16.8392,36.9856,72.18,97,0,3.69,clear sky
496,Carballo,ES,43.213,-8.691,53.01,78,20,1.99,few clouds
497,Mehamn,NO,71.0357,27.8492,30.2,80,20,1.14,light snow
498,Tecoanapa,MX,16.5167,-98.75,86.99,60,0,13.29,clear sky
499,Qaqortoq,GL,60.7167,-46.0333,57.2,24,40,28.77,scattered clouds
500,Qui Nhon,VN,13.7667,109.2333,76.03,88,99,5.1,overcast clouds
501,Bonoua,CI,5.2741,-3.595,84.2,84,20,10.36,few clouds
502,Labrea,BR,-7.2586,-64.7981,76.01,89,100,2.33,overcast clouds
503,Phan Thiet,VN,10.9333,108.1,78.71,84,100,6.85,overcast clouds
504,Tianpeng,CN,30.9866,103.9393,70.0,1,0,4.47,clear sky
505,Palmerston,AU,-12.486,130.9833,73.4,88,10,4.61,clear sky
506,Mabaruma,GY,8.2,-59.7833,86.77,55,42,6.96,scattered clouds
507,Camocim,BR,-2.9022,-40.8411,81.3,81,97,8.52,overcast clouds
508,Fonseca,CO,10.8861,-72.8487,86.47,58,100,3.24,overcast clouds
509,Weihai,CN,37.5017,122.1136,46.67,85,98,14.0,overcast clouds
510,Praia,CV,14.9215,-23.5087,73.4,68,40,18.41,scattered clouds
511,Beira,MZ,-19.8436,34.8389,80.01,89,20,10.09,few clouds
512,Blagoyevo,RU,63.3667,47.9167,34.45,78,100,5.21,overcast clouds
513,Port Lincoln,AU,-34.7333,135.8667,66.99,41,100,11.63,overcast clouds
514,Shizunai,JP,42.3339,142.3669,42.03,92,100,22.24,overcast clouds
515,Bushehr,IR,28.9684,50.8385,75.2,78,0,4.29,clear sky
516,Hat Yai,TH,7.0084,100.4767,75.2,100,75,2.35,broken clouds
517,Beberibe,BR,-4.1797,-38.1306,86.0,66,40,12.66,scattered clouds
518,Letlhakeng,BW,-24.0944,25.0298,64.78,41,0,12.06,clear sky
519,Chama,CH,47.1821,8.4636,46.0,93,75,2.3,moderate rain
520,Hays,US,30.0502,-98.0336,68.0,95,100,4.0,overcast clouds
521,Ust-Koksa,RU,50.2696,85.6108,50.32,91,100,1.1,light rain
522,Shirokiy,RU,49.758,129.523,42.67,70,100,10.83,overcast clouds
523,Berdigestyakh,RU,62.0989,126.6992,31.06,98,100,3.91,overcast clouds
524,Pishin,PK,30.5803,66.9961,70.09,32,82,1.99,broken clouds
525,Sault Sainte Marie,CA,46.5168,-84.3333,44.6,45,1,20.71,clear sky
526,Suining,CN,30.508,105.5733,73.45,61,0,1.83,light rain
527,Dwarka,IN,22.2394,68.9678,82.89,76,100,9.64,overcast clouds
528,Zilupe,LV,56.3862,28.1217,38.62,90,100,6.46,overcast clouds
529,Khani,GE,41.9563,42.9566,57.2,88,75,4.61,broken clouds
530,Yulara,AU,-25.2406,130.9889,53.6,40,86,6.91,overcast clouds
531,Monrovia,LR,6.3005,-10.7969,78.8,94,75,4.61,light rain
532,Strezhevoy,RU,60.7333,77.5889,37.4,87,0,6.71,clear sky
533,Gaoua,BF,10.2992,-3.2508,94.44,25,66,0.45,broken clouds
534,Oranjemund,NA,-28.55,16.4333,57.85,80,0,18.61,clear sky
535,Krishnagiri,IN,12.5333,78.2333,79.2,73,1,5.35,clear sky
536,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,60,75,17.27,broken clouds
537,Alnashi,RU,56.1874,52.4792,48.45,64,97,14.61,overcast clouds
538,Walvis Bay,NA,-22.9575,14.5053,59.0,77,0,2.3,clear sky
539,Weston,US,26.1004,-80.3998,93.0,49,20,11.07,few clouds
540,Tarancon,ES,40.0085,-3.0073,55.4,58,0,10.36,clear sky
541,Ancud,CL,-41.8697,-73.8203,55.99,94,90,16.11,moderate rain
542,Iskateley,RU,67.6803,53.1512,30.51,86,100,7.45,overcast clouds
543,Dunedin,NZ,-45.8742,170.5036,46.99,78,53,1.99,broken clouds
544,Kulhudhuffushi,MV,6.6221,73.07,83.7,76,99,6.71,overcast clouds
545,Zyryanka,RU,65.75,150.85,28.85,89,100,2.66,overcast clouds
546,Westport,US,41.1415,-73.3579,66.0,51,26,1.99,scattered clouds
547,Ikom,NG,5.9667,8.7063,80.67,79,98,3.98,overcast clouds
548,Bajil,YE,15.0584,43.2851,85.75,50,100,9.01,overcast clouds
549,Krasni Okny,UA,47.5404,29.46,58.3,91,95,3.96,overcast clouds
550,Gat,IL,31.61,34.7642,73.99,46,0,6.08,clear sky
551,Beruwala,LK,6.4788,79.9828,79.34,84,100,2.3,overcast clouds
552,Bubaque,GW,11.2833,-15.8333,78.82,72,10,19.86,clear sky
553,Emerald,AU,-23.5333,148.1667,60.8,94,5,10.36,clear sky
554,Karema,TZ,-6.8205,30.4389,73.04,79,83,4.41,broken clouds
555,Okato,NZ,-39.2,173.8833,51.01,85,29,5.01,scattered clouds
556,Salalah,OM,17.0151,54.0924,82.4,78,40,4.61,scattered clouds
557,Qingdao,CN,36.0986,120.3719,42.8,81,0,2.24,clear sky
558,Porto Walter,BR,-8.2686,-72.7439,87.21,42,17,4.7,few clouds
559,Touros,BR,-5.1989,-35.4608,80.6,78,75,5.75,broken clouds
560,Zuwarah,LY,32.9312,12.082,73.71,58,77,14.27,broken clouds
561,Rawatsar,IN,29.2833,74.3833,91.4,22,100,4.29,overcast clouds
562,Camacha,PT,33.0833,-16.3333,62.6,63,40,13.8,scattered clouds
563,Northam,GB,51.0333,-4.2167,46.0,76,33,1.01,scattered clouds
564,Semnan,IR,35.5729,53.3971,71.98,33,0,9.31,clear sky
565,Mao,ES,39.8885,4.2658,60.8,88,20,4.61,few clouds
566,Hualmay,PE,-11.0964,-77.6139,72.39,72,12,8.81,few clouds
567,Port-Gentil,GA,-0.7193,8.7815,82.4,83,40,4.61,light rain
568,Darnah,LY,32.767,22.6367,81.77,31,14,10.27,few clouds
569,Katherine,AU,-14.4667,132.2667,64.4,82,0,3.44,clear sky
570,Ahipara,NZ,-35.1667,173.1667,60.48,77,74,9.28,broken clouds
571,Rockport,US,28.0206,-97.0544,77.0,94,90,21.85,mist
572,Barabinsk,RU,55.3571,78.357,42.89,73,0,7.27,clear sky
573,Husavik,IS,66.0449,-17.3389,33.8,93,90,12.66,overcast clouds
574,Beihai,CN,21.4833,109.1,76.95,77,89,2.55,overcast clouds
575,Deputatskiy,RU,69.3,139.9,17.24,97,97,0.85,overcast clouds
576,Gannan,CN,47.9147,123.5031,42.28,52,100,6.08,overcast clouds
577,Kalga,RU,50.9251,118.898,35.87,94,100,5.21,overcast clouds
578,Arcata,US,40.8665,-124.0828,62.01,87,90,8.05,overcast clouds
579,Nizwa,OM,22.9333,57.5333,75.45,49,13,3.13,few clouds
580,Tete,MZ,-16.1564,33.5867,86.0,58,0,5.75,clear sky
581,Lososina,RU,48.9975,140.3106,35.24,85,100,10.45,overcast clouds
582,Roald,NO,62.5833,6.1333,39.99,75,75,10.36,broken clouds
583,Saint-Francois,FR,46.4154,3.9054,50.0,71,90,5.75,overcast clouds
584,Nenjiang,CN,49.1833,125.2167,42.01,86,99,2.89,overcast clouds
585,Manta,EC,-0.95,-80.7333,80.6,83,75,3.44,light rain
586,Sri Aman,MY,1.2376,111.4621,75.0,100,96,0.69,overcast clouds
587,Tinaogan,PH,9.7791,123.1503,82.4,74,40,6.91,scattered clouds
588,Rehli,IN,23.6333,79.0833,91.24,12,28,3.36,scattered clouds
589,Ixtapa,MX,20.7,-105.2,82.4,69,20,9.22,few clouds
590,Harper,LR,4.375,-7.7169,81.32,76,100,6.53,overcast clouds
591,Port Hedland,AU,-20.3167,118.5667,71.6,88,0,6.91,clear sky
592,Ola,RU,59.5833,151.2833,29.93,85,100,1.92,overcast clouds
593,Florestopolis,BR,-22.8633,-51.3872,77.0,47,20,11.5,few clouds
594,Magadan,RU,59.5667,150.8,28.9,90,100,2.42,overcast clouds
595,Clarence Town,AU,-32.5833,151.7833,61.0,100,40,1.74,scattered clouds
596,Pinawa,CA,50.1489,-95.8811,54.21,24,92,10.25,overcast clouds
597,Terrasini,IT,38.146,13.0844,69.01,88,0,11.5,clear sky
598,Las Palmas,ES,28.4204,-14.0131,68.0,52,40,19.57,scattered clouds
599,Kostomuksha,RU,64.571,30.5767,26.06,84,100,4.03,overcast clouds
600,Jupiter,US,26.9342,-80.0942,89.6,43,1,8.05,clear sky
601,Viransehir,TR,37.2353,39.7631,62.29,67,7,10.83,clear sky
602,Sinnamary,GF,5.3833,-52.95,75.04,93,100,5.23,light rain
603,Puerto Carreno,CO,6.189,-67.4859,77.97,77,99,4.27,overcast clouds
604,Zhelyabovka,UA,45.3988,34.7578,54.64,75,97,6.46,overcast clouds
605,Nelson Bay,AU,-32.7167,152.15,61.0,100,40,6.44,scattered clouds
606,Sinnai,IT,39.3042,9.2036,66.2,77,0,11.5,clear sky
607,Mitsamiouli,KM,-11.3847,43.2844,82.26,75,8,2.77,clear sky
608,Arlit,NE,18.7369,7.3853,94.1,5,0,9.98,clear sky
609,Venice,US,27.0998,-82.4543,86.0,74,1,11.5,haze
610,Chara,RU,56.9064,118.2631,26.91,92,100,1.63,overcast clouds
611,Tabas,IR,33.5959,56.9244,79.88,26,100,8.3,overcast clouds
612,Altay,CN,47.8667,88.1167,61.97,34,99,5.86,overcast clouds
613,Umm Lajj,SA,25.0213,37.2685,85.15,44,0,7.18,clear sky
614,Aksarka,RU,66.5606,67.7975,14.99,94,78,5.57,broken clouds
615,Buzmeyin,TM,38.0507,58.2056,69.8,73,75,4.61,broken clouds
616,Pangody,RU,65.85,74.4859,26.56,94,100,13.53,overcast clouds
617,Lata,PT,40.1629,-8.3327,59.0,69,6,4.0,clear sky
618,Kholmogory,RU,64.2229,41.656,33.8,86,40,4.47,light snow
619,Portland,US,45.5234,-122.6762,66.2,52,75,5.75,broken clouds
620,Grand Gaube,MU,-20.0064,57.6608,78.01,80,3,5.99,clear sky
621,Taoudenni,ML,22.6783,-3.9836,84.76,35,89,12.08,overcast clouds
622,Ntcheu,MW,-14.8203,34.6359,64.85,92,5,1.39,clear sky
623,Iguape,BR,-24.7081,-47.5553,73.18,59,72,9.28,broken clouds
624,Nsoko,SZ,-27.0333,31.95,63.27,83,52,7.52,broken clouds
625,Waddan,LY,29.1614,16.139,93.56,7,0,15.46,clear sky
626,Bull Savanna,JM,17.8868,-77.5902,83.08,59,27,15.86,scattered clouds
627,Marrakesh,MA,31.6315,-8.0083,59.0,63,75,2.3,broken clouds
628,Mago,RU,53.2514,140.1822,29.97,94,100,2.48,overcast clouds
629,Vigia Del Fuerte,CO,6.5789,-76.8863,81.7,84,99,3.56,overcast clouds
630,Kalispell,US,48.1958,-114.3129,71.01,24,40,5.75,scattered clouds
631,Aklavik,CA,68.2191,-135.0107,28.4,80,100,8.05,overcast clouds
632,Krasnoselkup,RU,65.7,82.4667,33.57,98,100,13.38,overcast clouds
633,Olafsvik,IS,64.8945,-23.7142,35.96,63,65,27.07,broken clouds
634,Cavalcante,BR,-13.7975,-47.4583,76.8,69,100,6.49,overcast clouds
635,Ilulissat,GL,69.2167,-51.1,39.2,56,20,3.44,few clouds
636,Danilov,RU,58.1908,40.1717,45.16,97,100,7.7,moderate rain
637,Sao Filipe,CV,14.8961,-24.4956,72.3,77,17,10.76,few clouds
638,Rio Gallegos,AR,-51.6226,-69.2181,46.4,81,20,8.05,few clouds
639,Tsumeb,NA,-19.2333,17.7167,62.6,67,14,3.44,few clouds
640,Rio Cuarto,AR,-33.1307,-64.3499,77.0,36,0,21.85,clear sky
641,Agadez,NE,19.75,10.25,89.13,5,0,5.61,clear sky
642,Tripoli,LY,32.8752,13.1875,77.25,48,98,10.2,overcast clouds
643,Voh,NC,-20.9667,164.7,67.57,79,35,4.34,scattered clouds
644,Key West,US,24.5557,-81.7826,84.2,70,1,6.91,clear sky
645,La Macarena,CO,2.1837,-73.7849,75.33,93,90,4.05,moderate rain
646,Emirdag,TR,39.0197,31.15,62.55,54,1,4.72,clear sky
647,Tokmak,UA,47.2514,35.7058,57.2,80,100,7.9,overcast clouds
648,Ambon,ID,-3.6954,128.1814,81.32,76,96,3.18,overcast clouds
649,Nalut,LY,30.3333,10.85,92.44,11,43,10.78,scattered clouds
650,Sokolo,ML,14.7328,-6.1219,99.72,20,99,9.98,overcast clouds
651,Georgiyevskoye,RU,58.731,45.024,45.79,94,100,13.13,moderate rain
652,Tual,ID,-5.6667,132.75,82.85,74,33,12.17,scattered clouds
653,San Luis,AR,-33.295,-66.3356,74.05,29,73,6.62,broken clouds
654,Karlskoga,SE,59.3267,14.5239,48.2,34,0,9.22,clear sky
655,Valparaiso,CL,-33.0393,-71.6273,66.2,63,20,4.61,few clouds
656,Malanville,BJ,11.8685,3.3899,97.18,17,67,6.38,broken clouds
657,Ussel,FR,45.55,2.3167,52.0,26,100,0.58,overcast clouds
658,Sao Sebastiao,BR,-23.76,-45.4097,72.99,66,100,6.67,overcast clouds
659,Cody,US,44.5263,-109.0565,75.0,18,1,10.36,clear sky
660,Zabaykalsk,RU,49.6333,117.3167,32.56,84,4,6.22,clear sky
661,Ferme-Neuve,CA,46.7001,-75.4493,50.0,66,100,14.97,overcast clouds
